word,frequency
голямо,1
илюминации,1
смях,1
крясъци,1
статуите,1
немеят,1
безмълвно,1
долетели,1
тайни,1
розовите,1
храсти,1
монахини,1
кипарисови,1
подбрали,1
щастлив,1
зависи,1
открият,1
днешните,1
кулиси,1
нарекат,1
история,1
започнат,1
същата,1
разкошно,1
огледало,1
временна,1
победа,1
скрит,1
оттатък,1
мълчаливо,1
площадът,1
споменът,1
стена,1
издълбан,1
свободата,1
точният,1
адрес,1
думите,1
дръзкия,1
лакти,1
чиновникът,1
червени,1
ръкавели,1
историята,1
пише,1
работа,1
приветства,1
началото,1
запомня,1
свободни,1
равни,1
братя,1
небрежен,1
зная,1
отрязала,1
гилотината,1
хляба,1
фрагмент,1
детрониран,1
догаряща,1
успехи,1
богатства,1
злини,1
победите,1
бъдните,1
дъждовното,1
перлашез,1
потъмнява,1
абсурден,1
гробището,1
препуска,1
мраморен,1
ездач,1
бърза,1
удари,1
куршумът,1
наплисква,1
кръстовете,1
изправят,1
комунари,1
разстрел,1
сенчестия,1
зид,1
бръшлянът,1
отмиват,1
мечтите,1
чувствата,1
извисява,1
боли,1
кестени,1
бодли,1
разполовена,1
ранна,1
въздух,1
метал,1
забила,1
огнената,1
проумя,1
жадуващи,1
извисят,1
керемидената,1
жар,1
стария,1
разпукнат,1
топлина,1
мнозина,1
дъждовете,1
скоро,1
ситроени,1
жабешки,1
плискат,1
локвите,1
вглъбени,1
ръце,1
милват,1
дългата,1
топла,1
златния,1
овен,1
камината,1
невидима,1
превърне,1
светлина,1
безплътна,1
таверна,1
чернеят,1
два,1
самотни,1
кипариса,1
овъглените,1
изгорял,1
неземното,1
докосне,1
гърмеше,1
паднало,1
огромна,1
мълнията,1
изчезнали,1
измества,1
тревоги,1
смътна,1
отгоре,1
утринният,1
длан,1
видя,1
улички,1
авенюта,1
линиите,1
ума,1
подправеното,1
свое,1
су,1
бедния,1
художник,1
също,1
могъл,1
откупи,1
талант,1
поискал,1
велика,1
тайна,1
разбрал,1
засега,1
какъв,1
печат,1
сделка,1
скрепява,1
съдбата,1
слага,1
мръкне,1
тръгва,1
насам,1
крачат,1
върволица,1
лампите,1
сини,1
болезнено,1
свято,1
твърда,1
гърда,1
девица,1
намислила,1
изкуши,1
месеци,1
атанас,1
далчев,1
авеню,1
дю,1
поетът,1
възпетият,1
номер,1
изтръгнати,1
единият,1
железни,1
багера,1
пожестоки,1
безсмисленовсеядно,1
мълчат,1
прогизналите,1
